relativePath,size,md5,sha256,gameType,language,isRequired,metadata,downloadUrl
Data/Cursors/sccscroll0.ani,888,69a1fbc2773ec932f6a5a7fb37f7f12f,0560079fe4782ac89942eb45e94de7011eb1f4ebb39230890e4917d612bc5d01,Generals,All,False,"{""category"":""other""}",https://raw.githubusercontent.com/community-outpost/GenHub/main/docs/GameInstallationFilesRegistry/Generals-1.08.csv
Data/Cursors/sccscroll1.ani,888,6aacbae0874a6c9aa335e35947a8ebd0,c48c8691866637e0fa9fc98bb40e2d8240370b4cafd7b767c1595b58789eb06c,Generals,All,False,"{""category"":""other""}",https://raw.githubusercontent.com/community-outpost/GenHub/main/docs/GameInstallationFilesRegistry/Generals-1.08.csv
Data/Cursors/sccscroll2.ani,888,43f6019d566d0aa8759a42d0a5bec5cd,e62fe7da074898004ee7ef81626830fa94332b3a9d4fe8987e948cea0e2ac1f9,Generals,All,False,"{""category"":""other""}",https://raw.githubusercontent.com/community-outpost/GenHub/main/docs/GameInstallationFilesRegistry/Generals-1.08.csv
Data/Cursors/sccscroll3.ani,888,6f2e50e14ff2776eae76d961a4a5bfc7,f9c2a000c946a6f6bb420d9671c9ba21a9fc14821a5692a5f2e5b4755fdebb8d,Generals,All,False,"{""category"":""other""}",https://raw.githubusercontent.com/community-outpost/GenHub/main/docs/GameInstallationFilesRegistry/Generals-1.08.csv
Data/Cursors/SCCScroll4.ani,888,a169748d79da826c10d7e5149c7fd41e,ec77136c9768ca3c50216ae92269aa5fae4f29197a13a355c6f92fcf53ecb279,Generals,All,False,"{""category"":""other""}",https://raw.githubusercontent.com/community-outpost/GenHub/main/docs/GameInstallationFilesRegistry/Generals-1.08.csv
Data/Cursors/SCCScroll5.ani,888,f17a6fc61a7b944bf5eed66d8242d5ca,2ccb9140e23faf6cc98560e545a54b83efce54dd1bfb01ea84119732d0f04433,Generals,All,False,"{""category"":""other""}",https://raw.githubusercontent.com/community-outpost/GenHub/main/docs/GameInstallationFilesRegistry/Generals-1.08.csv
Data/Cursors/SCCScroll6.ani,888,33618b4ed32fcec63df6fea44b98bac8,46186f3e8e9243edda6e0baf00e0a0fcaaf5e5d9b4d4531bf13393fdda67acc9,Generals,All,False,"{""category"":""other""}",https://raw.githubusercontent.com/community-outpost/GenHub/main/docs/GameInstallationFilesRegistry/Generals-1.08.csv
Data/Cursors/SCCScroll7.ani,888,eaae99658bb1a5d14ea89ae89aaf32e0,00904ceec2de7e828c1a5fbe224b1ebf6cb19543f3d24381b64d4329a510e46b,Generals,All,False,"{""category"":""other""}",https://raw.githubusercontent.com/community-outpost/GenHub/main/docs/GameInstallationFilesRegistry/Generals-1.08.csv
Data/Cursors/SCCSDIUplink.ani,16460,1443e1a4d8c5665e6a88288e1b03e7b0,11de6fad707df80023f91c011569de86705b2770cd1df5bb0394481bf5794fb5,Generals,All,False,"{""category"":""other""}",https://raw.githubusercontent.com/community-outpost/GenHub/main/docs/GameInstallationFilesRegistry/Generals-1.08.csv
Data/Cursors/SCCSelect.ani,6388,21d58f3402a7f33ca5422fc865d2d602,42840130f31fa90c880ba2855fecff0c4a1cd3e903e6eea862ab95b8dc876427,Generals,All,False,"{""category"":""other""}",https://raw.githubusercontent.com/community-outpost/GenHub/main/docs/GameInstallationFilesRegistry/Generals-1.08.csv
